id,activity_id,project_id,date,reported_progress,daily_increment,image_uploaded,weather_event,crew_size,notes,has_issue_logged
upd_000054,act_001_05,proj_001,2022-02-23,25.4,2.56,True,False,11,Overtime shift completed to recover schedule.,False
upd_000055,act_001_05,proj_001,2022-02-24,32.3,6.86,True,False,5,Safety toolbox talk held; no incidents.,True
upd_000056,act_001_05,proj_001,2022-02-25,38.7,6.43,True,False,14,Equipment breakdown caused 2-hour downtime.,True
upd_000057,act_001_05,proj_001,2022-02-26,44.2,5.52,True,False,12,Overtime shift completed to recover schedule.,False
upd_000058,act_001_05,proj_001,2022-02-27,47.6,3.36,True,False,6,Work progressing as planned.,False
upd_000059,act_001_05,proj_001,2022-02-28,53.1,5.54,False,False,6,Client walkthrough conducted.,False
upd_000060,act_001_05,proj_001,2022-03-01,67.3,14.18,False,False,6,Equipment breakdown caused 2-hour downtime.,False
upd_000061,act_001_05,proj_001,2022-03-02,72.4,5.08,True,False,21,Productivity affected by heat; hydration breaks added.,False
upd_000062,act_001_05,proj_001,2022-03-03,77.2,4.85,False,False,20,Work progressing as planned.,False
upd_000063,act_001_05,proj_001,2022-03-04,80.0,2.82,False,False,7,Equipment breakdown caused 2-hour downtime.,False
upd_000064,act_001_05,proj_001,2022-03-05,88.8,8.77,True,False,21,Good progress — crew at full strength.,False
upd_000065,act_001_05,proj_001,2022-03-06,93.7,4.93,True,False,10,Rework required on small section.,False
upd_000066,act_001_05,proj_001,2022-03-07,99.9,6.24,True,False,5,Minor delays due to material delivery.,False
upd_000067,act_001_06,proj_001,2022-02-20,11.2,11.18,True,False,14,Night shift deployed to catch up.,False
upd_000068,act_001_06,proj_001,2022-02-21,19.0,7.77,True,False,18,Client walkthrough conducted.,False
upd_000069,act_001_06,proj_001,2022-02-22,22.4,3.41,True,False,8,Client walkthrough conducted.,False
upd_000070,act_001_06,proj_001,2022-02-23,33.9,11.54,True,False,17,Good progress — crew at full strength.,True
upd_000071,act_001_06,proj_001,2022-02-24,40.6,6.74,False,False,5,Equipment breakdown caused 2-hour downtime.,True
upd_000072,act_001_06,proj_001,2022-02-25,45.8,5.2,True,False,15,Night shift deployed to catch up.,False
upd_000073,act_001_06,proj_001,2022-02-26,54.3,8.48,False,False,8,Equipment breakdown caused 2-hour downtime.,False
upd_000074,act_001_06,proj_001,2022-02-27,65.8,11.5,False,False,9,Equipment breakdown caused 2-hour downtime.,False
upd_000075,act_001_06,proj_001,2022-02-28,70.2,4.41,False,False,17,Night shift deployed to catch up.,False
upd_000076,act_001_06,proj_001,2022-03-01,73.6,3.43,True,False,9,Night shift deployed to catch up.,False
upd_000077,act_001_06,proj_001,2022-03-02,79.1,5.46,True,False,19,Weather caused brief stoppage.,False
upd_000078,act_001_06,proj_001,2022-03-03,82.6,3.49,True,False,11,Weather caused brief stoppage.,False
upd_000079,act_001_06,proj_001,2022-03-04,84.2,1.61,True,False,6,Night shift deployed to catch up.,True
upd_000080,act_001_06,proj_001,2022-03-05,85.6,1.44,True,False,21,Waiting for subcontractor sign-off.,False
upd_000081,act_001_06,proj_001,2022-03-06,95.3,9.67,False,False,9,Safety toolbox talk held; no incidents.,False
upd_000082,act_001_06,proj_001,2022-03-07,95.3,0.0,True,False,17,Waiting for subcontractor sign-off.,False
upd_000083,act_001_06,proj_001,2022-03-08,100.0,4.66,True,False,20,Minor delays due to material delivery.,False
upd_000084,act_001_07,proj_001,2022-02-20,8.3,8.32,True,False,17,Work progressing as planned.,False
upd_000085,act_001_07,proj_001,2022-02-21,15.6,7.27,True,False,10,Waiting for subcontractor sign-off.,False
upd_000086,act_001_07,proj_001,2022-02-22,26.4,10.85,False,False,14,Rework required on small section.,False
upd_000087,act_001_07,proj_001,2022-02-23,30.9,4.51,True,False,13,Rework required on small section.,False
upd_000088,act_001_07,proj_001,2022-02-24,37.9,7.01,True,False,8,Weather caused brief stoppage.,False
upd_000089,act_001_07,proj_001,2022-02-25,44.3,6.41,True,False,9,Safety toolbox talk held; no incidents.,False
upd_000090,act_001_07,proj_001,2022-02-26,49.8,5.45,False,False,13,Inspection checkpoint cleared.,False
upd_000091,act_001_07,proj_001,2022-02-27,57.8,8.01,True,False,14,Material quality check done; passed.,False
upd_000092,act_001_07,proj_001,2022-02-28,66.4,8.61,True,False,9,Rework required on small section.,False
upd_000093,act_001_07,proj_001,2022-03-01,69.2,2.81,True,False,14,Minor delays due to material delivery.,True
upd_000094,act_001_07,proj_001,2022-03-02,79.5,10.31,True,False,11,Night shift deployed to catch up.,False
upd_000095,act_001_07,proj_001,2022-03-03,94.9,15.42,True,True,19,Safety toolbox talk held; no incidents.,False
upd_000096,act_001_07,proj_001,2022-03-04,99.9,5.02,True,False,22,Weather caused brief stoppage.,False
upd_000097,act_001_08,proj_001,2022-03-08,4.1,4.06,True,False,8,Rework required on small section.,False
upd_000098,act_001_08,proj_001,2022-03-09,12.5,8.43,False,False,7,Night shift deployed to catch up.,False
upd_000099,act_001_08,proj_001,2022-03-10,19.9,7.38,False,False,20,Material quality check done; passed.,False
upd_000100,act_001_08,proj_001,2022-03-11,33.1,13.19,False,False,18,Good progress — crew at full strength.,True
upd_000101,act_001_08,proj_001,2022-03-12,41.0,7.9,False,False,14,Night shift deployed to catch up.,False
upd_000102,act_001_08,proj_001,2022-03-13,47.1,6.12,True,False,20,Overtime shift completed to recover schedule.,False
upd_000103,act_001_08,proj_001,2022-03-14,54.7,7.6,False,False,19,Material quality check done; passed.,False
upd_000104,act_001_08,proj_001,2022-03-15,61.3,6.63,True,False,20,Material quality check done; passed.,False
upd_000105,act_001_08,proj_001,2022-03-16,73.4,12.09,True,False,13,Weather caused brief stoppage.,False
upd_000106,act_001_08,proj_001,2022-03-17,82.4,9.0,True,False,8,Good progress — crew at full strength.,False
upd_000107,act_001_08,proj_001,2022-03-18,91.3,8.9,True,False,6,Overtime shift completed to recover schedule.,False
upd_000108,act_001_08,proj_001,2022-03-19,100.0,8.71,True,False,10,All tasks on track per daily plan.,False
upd_000109,act_001_09,proj_001,2022-03-20,3.9,3.86,True,False,4,All tasks on track per daily plan.,False
upd_000110,act_001_09,proj_001,2022-03-21,14.5,10.58,True,False,15,Inspection checkpoint cleared.,False
upd_000111,act_001_09,proj_001,2022-03-22,16.4,1.94,False,False,17,Client walkthrough conducted.,False
upd_000112,act_001_09,proj_001,2022-03-23,22.3,5.91,True,False,11,Material quality check done; passed.,False
upd_000113,act_001_09,proj_001,2022-03-24,28.5,6.22,True,False,14,Rework required on small section.,False
upd_000114,act_001_09,proj_001,2022-03-25,35.3,6.83,True,False,18,Equipment breakdown caused 2-hour downtime.,False
upd_000115,act_001_09,proj_001,2022-03-26,40.3,5.01,True,False,16,Safety toolbox talk held; no incidents.,True
upd_000116,act_001_09,proj_001,2022-03-27,44.5,4.15,True,True,8,All tasks on track per daily plan.,False
upd_000117,act_001_09,proj_001,2022-03-28,48.4,3.89,True,True,10,Material quality check done; passed.,False
upd_000118,act_001_09,proj_001,2022-03-29,50.6,2.2,True,False,17,Inspection checkpoint cleared.,False
upd_000119,act_001_09,proj_001,2022-03-30,54.5,3.94,False,False,5,Waiting for subcontractor sign-off.,False
upd_000120,act_001_09,proj_001,2022-03-31,58.0,3.47,False,False,5,Night shift deployed to catch up.,False
upd_000121,act_001_09,proj_001,2022-04-01,64.4,6.43,False,False,8,Weather caused brief stoppage.,True
upd_000122,act_001_09,proj_001,2022-04-02,68.5,4.11,True,False,10,Material quality check done; passed.,True
upd_000123,act_001_09,proj_001,2022-04-03,74.1,5.64,True,False,7,Night shift deployed to catch up.,False
upd_000124,act_001_09,proj_001,2022-04-04,74.1,0.0,True,False,4,Equipment breakdown caused 2-hour downtime.,False
upd_000125,act_001_09,proj_001,2022-04-05,77.5,3.41,False,False,16,Productivity affected by heat; hydration breaks added.,False
upd_000126,act_001_09,proj_001,2022-04-06,81.8,4.26,False,False,11,Minor delays due to material delivery.,False
upd_000127,act_001_09,proj_001,2022-04-07,85.8,4.02,True,False,7,Night shift deployed to catch up.,False
upd_000128,act_001_09,proj_001,2022-04-08,90.9,5.11,True,False,17,Rework required on small section.,False
upd_000129,act_001_09,proj_001,2022-04-09,99.9,9.0,True,False,17,All tasks on track per daily plan.,False
upd_000130,act_001_10,proj_001,2022-03-09,6.1,6.05,True,False,18,Productivity affected by heat; hydration breaks added.,False
upd_000131,act_001_10,proj_001,2022-03-10,11.0,4.86,True,False,12,Safety toolbox talk held; no incidents.,False
upd_000132,act_001_10,proj_001,2022-03-11,15.1,4.14,True,False,17,All tasks on track per daily plan.,False
upd_000133,act_001_10,proj_001,2022-03-12,22.9,7.85,False,False,6,Inspection checkpoint cleared.,False
upd_000134,act_001_10,proj_001,2022-03-13,32.8,9.94,True,False,16,Waiting for subcontractor sign-off.,False
upd_000135,act_001_10,proj_001,2022-03-14,40.1,7.34,True,False,10,Waiting for subcontractor sign-off.,True
upd_000136,act_001_10,proj_001,2022-03-15,44.6,4.47,False,False,12,Client walkthrough conducted.,False
upd_000137,act_001_10,proj_001,2022-03-16,51.0,6.44,True,False,17,Material quality check done; passed.,True
upd_000138,act_001_10,proj_001,2022-03-17,52.6,1.58,True,False,19,Material quality check done; passed.,False
upd_000139,act_001_10,proj_001,2022-03-18,62.5,9.94,True,False,11,Inspection checkpoint cleared.,False
upd_000140,act_001_10,proj_001,2022-03-19,72.0,9.52,True,False,15,Overtime shift completed to recover schedule.,False
upd_000141,act_001_10,proj_001,2022-03-20,77.1,5.08,True,False,18,Inspection checkpoint cleared.,False
upd_000142,act_001_10,proj_001,2022-03-21,84.8,7.68,False,False,14,Minor delays due to material delivery.,False
upd_000143,act_001_10,proj_001,2022-03-22,92.8,8.05,True,False,10,Weather caused brief stoppage.,False
upd_000144,act_001_10,proj_001,2022-03-23,99.9,7.05,True,False,20,Safety toolbox talk held; no incidents.,False
upd_000145,act_001_11,proj_001,2022-03-26,4.7,4.67,True,False,11,Waiting for subcontractor sign-off.,False
upd_000146,act_001_11,proj_001,2022-03-27,11.5,6.83,True,True,12,Work progressing as planned.,False
upd_000147,act_001_11,proj_001,2022-03-28,21.1,9.61,True,False,8,Rework required on small section.,False
upd_000148,act_001_11,proj_001,2022-03-29,29.4,8.33,False,False,22,Inspection checkpoint cleared.,False
upd_000149,act_001_11,proj_001,2022-03-30,32.0,2.62,True,False,5,Inspection checkpoint cleared.,False
upd_000150,act_001_11,proj_001,2022-03-31,41.0,8.98,False,False,16,Material quality check done; passed.,False
upd_000151,act_001_11,proj_001,2022-04-01,47.6,6.57,True,False,8,Night shift deployed to catch up.,True
upd_000152,act_001_11,proj_001,2022-04-02,59.0,11.37,False,False,7,Client walkthrough conducted.,False
upd_000153,act_001_11,proj_001,2022-04-03,65.9,6.92,False,False,11,Night shift deployed to catch up.,False
upd_000154,act_001_11,proj_001,2022-04-04,74.1,8.17,True,False,22,Overtime shift completed to recover schedule.,False
upd_000155,act_001_11,proj_001,2022-04-05,78.4,4.28,True,False,7,Night shift deployed to catch up.,False
upd_000156,act_001_11,proj_001,2022-04-06,89.4,10.97,True,False,9,Weather caused brief stoppage.,False
upd_000157,act_001_11,proj_001,2022-04-07,100.0,10.68,True,False,18,Productivity affected by heat; hydration breaks added.,False
upd_000158,act_001_12,proj_001,2022-04-08,8.1,8.08,True,False,13,Productivity affected by heat; hydration breaks added.,False
upd_000159,act_001_12,proj_001,2022-04-09,18.0,9.87,True,False,12,Night shift deployed to catch up.,False
upd_000160,act_001_12,proj_001,2022-04-10,24.6,6.56,False,False,10,Overtime shift completed to recover schedule.,False
upd_000161,act_001_12,proj_001,2022-04-11,30.8,6.15,True,False,12,All tasks on track per daily plan.,True
upd_000162,act_001_12,proj_001,2022-04-12,38.5,7.71,False,True,22,Equipment breakdown caused 2-hour downtime.,False
upd_000163,act_001_12,proj_001,2022-04-13,45.6,7.05,True,False,16,Inspection checkpoint cleared.,False
upd_000164,act_001_12,proj_001,2022-04-14,49.2,3.63,True,False,5,Equipment breakdown caused 2-hour downtime.,False
upd_000165,act_001_12,proj_001,2022-04-15,55.6,6.36,True,False,6,Weather caused brief stoppage.,False
upd_000166,act_001_12,proj_001,2022-04-16,61.3,5.69,True,False,4,Night shift deployed to catch up.,False
upd_000167,act_001_12,proj_001,2022-04-17,65.7,4.4,True,False,9,Material quality check done; passed.,False
upd_000168,act_001_12,proj_001,2022-04-18,72.6,6.87,True,False,22,Overtime shift completed to recover schedule.,False
upd_000169,act_001_12,proj_001,2022-04-19,76.1,3.55,True,False,15,Overtime shift completed to recover schedule.,False
upd_000170,act_001_12,proj_001,2022-04-20,80.1,3.96,False,False,14,Overtime shift completed to recover schedule.,False
upd_000171,act_001_12,proj_001,2022-04-21,86.2,6.1,False,False,21,Work progressing as planned.,False
upd_000172,act_001_12,proj_001,2022-04-22,91.6,5.35,True,False,16,All tasks on track per daily plan.,False
upd_000173,act_001_12,proj_001,2022-04-23,96.2,4.65,True,False,21,Material quality check done; passed.,False
upd_000174,act_001_12,proj_001,2022-04-24,100.0,4.03,True,False,19,Rework required on small section.,False
upd_000175,act_001_13,proj_001,2022-04-28,2.9,2.93,True,True,8,Equipment breakdown caused 2-hour downtime.,False
upd_000176,act_001_13,proj_001,2022-04-29,9.5,6.64,True,False,4,Rework required on small section.,False
upd_000177,act_001_13,proj_001,2022-04-30,19.4,9.87,True,False,21,Work progressing as planned.,False
upd_000178,act_001_13,proj_001,2022-05-01,26.2,6.78,False,False,7,Material quality check done; passed.,False
upd_000179,act_001_13,proj_001,2022-05-02,26.2,0.0,True,False,13,Client walkthrough conducted.,False
upd_000180,act_001_13,proj_001,2022-05-03,30.4,4.18,True,False,19,Weather caused brief stoppage.,False
upd_000181,act_001_13,proj_001,2022-05-04,31.7,1.29,True,False,20,Productivity affected by heat; hydration breaks added.,False
upd_000182,act_001_13,proj_001,2022-05-05,35.7,4.02,True,False,17,Waiting for subcontractor sign-off.,False
upd_000183,act_001_13,proj_001,2022-05-06,37.5,1.82,False,False,13,Productivity affected by heat; hydration breaks added.,False
upd_000184,act_001_13,proj_001,2022-05-07,44.9,7.45,False,False,19,All tasks on track per daily plan.,False
upd_000185,act_001_13,proj_001,2022-05-08,49.7,4.78,True,False,21,Night shift deployed to catch up.,False
upd_000186,act_001_13,proj_001,2022-05-09,54.2,4.49,True,False,10,Productivity affected by heat; hydration breaks added.,False
upd_000187,act_001_13,proj_001,2022-05-10,60.3,6.09,False,False,17,Work progressing as planned.,False
upd_000188,act_001_13,proj_001,2022-05-11,69.0,8.7,False,False,16,Overtime shift completed to recover schedule.,False
upd_000189,act_001_13,proj_001,2022-05-12,77.5,8.48,True,False,8,Material quality check done; passed.,False
upd_000190,act_001_13,proj_001,2022-05-13,82.3,4.81,False,False,14,All tasks on track per daily plan.,False
upd_000191,act_001_13,proj_001,2022-05-14,86.8,4.49,True,False,18,Work progressing as planned.,True
upd_000192,act_001_13,proj_001,2022-05-15,90.8,3.95,True,False,8,Minor delays due to material delivery.,False
upd_000193,act_001_13,proj_001,2022-05-16,94.5,3.72,True,False,16,Rework required on small section.,False
upd_000194,act_001_13,proj_001,2022-05-17,100.0,5.49,True,False,21,Overtime shift completed to recover schedule.,True
upd_000195,act_001_14,proj_001,2022-05-18,12.2,12.25,False,False,19,All tasks on track per daily plan.,False
upd_000196,act_001_14,proj_001,2022-05-19,16.2,4.03,True,False,13,Weather caused brief stoppage.,False
upd_000197,act_001_14,proj_001,2022-05-20,21.7,5.47,True,False,7,Material quality check done; passed.,False
upd_000198,act_001_14,proj_001,2022-05-21,32.9,11.18,True,False,14,Night shift deployed to catch up.,False
upd_000199,act_001_14,proj_001,2022-05-22,43.3,10.4,True,False,11,Client walkthrough conducted.,True
upd_000200,act_001_14,proj_001,2022-05-23,52.5,9.2,True,False,9,Minor delays due to material delivery.,False
upd_000201,act_001_14,proj_001,2022-05-24,64.4,11.93,True,False,19,Equipment breakdown caused 2-hour downtime.,False
upd_000202,act_001_14,proj_001,2022-05-25,70.2,5.79,True,False,18,Inspection checkpoint cleared.,False
upd_000203,act_001_14,proj_001,2022-05-26,84.0,13.77,True,False,13,Rework required on small section.,False
upd_000204,act_001_14,proj_001,2022-05-27,91.5,7.52,False,False,22,Inspection checkpoint cleared.,False
upd_000205,act_001_14,proj_001,2022-05-28,100.0,8.46,True,False,13,Weather caused brief stoppage.,False
upd_000206,act_001_15,proj_001,2022-05-29,11.9,11.94,True,False,16,Safety toolbox talk held; no incidents.,False
upd_000207,act_001_15,proj_001,2022-05-30,17.3,5.39,True,False,4,All tasks on track per daily plan.,False
upd_000208,act_001_15,proj_001,2022-05-31,31.3,13.97,True,False,5,Equipment breakdown caused 2-hour downtime.,False
upd_000209,act_001_15,proj_001,2022-06-01,43.3,11.96,False,False,13,Night shift deployed to catch up.,False
upd_000210,act_001_15,proj_001,2022-06-02,57.8,14.53,True,False,10,Safety toolbox talk held; no incidents.,False
upd_000211,act_001_15,proj_001,2022-06-03,74.1,16.35,False,False,8,Rework required on small section.,False
upd_000212,act_001_15,proj_001,2022-06-04,89.3,15.21,True,False,18,Work progressing as planned.,True
upd_000213,act_001_15,proj_001,2022-06-05,100.0,10.66,True,False,13,Waiting for subcontractor sign-off.,False
upd_000214,act_002_01,proj_002,2022-03-01,12.5,12.47,True,False,21,Equipment breakdown caused 2-hour downtime.,False
upd_000215,act_002_01,proj_002,2022-03-02,24.1,11.61,False,False,9,Inspection checkpoint cleared.,False
upd_000216,act_002_01,proj_002,2022-03-03,36.4,12.33,False,False,13,Productivity affected by heat; hydration breaks added.,False
upd_000217,act_002_01,proj_002,2022-03-04,51.6,15.21,True,False,6,Good progress — crew at full strength.,False
upd_000218,act_002_01,proj_002,2022-03-05,63.1,11.5,True,False,16,All tasks on track per daily plan.,False
upd_000219,act_002_01,proj_002,2022-03-06,75.1,12.05,False,False,4,Inspection checkpoint cleared.,False
upd_000220,act_002_01,proj_002,2022-03-07,87.2,12.11,True,False,12,Safety toolbox talk held; no incidents.,False
upd_000221,act_002_01,proj_002,2022-03-08,99.9,12.72,True,False,11,Material quality check done; passed.,False
upd_000222,act_002_02,proj_002,2022-03-10,11.7,11.74,True,False,11,Rework required on small section.,True
upd_000223,act_002_02,proj_002,2022-03-11,19.2,7.53,False,False,13,Rework required on small section.,True
upd_000224,act_002_02,proj_002,2022-03-12,27.2,7.99,False,False,13,Material quality check done; passed.,False
upd_000225,act_002_02,proj_002,2022-03-13,36.5,9.34,True,False,16,Material quality check done; passed.,True
upd_000226,act_002_02,proj_002,2022-03-14,41.4,4.94,True,False,21,Overtime shift completed to recover schedule.,False
upd_000227,act_002_02,proj_002,2022-03-15,50.0,8.65,False,False,7,All tasks on track per daily plan.,False
upd_000228,act_002_02,proj_002,2022-03-16,54.6,4.59,False,False,5,Productivity affected by heat; hydration breaks added.,False
upd_000229,act_002_02,proj_002,2022-03-17,63.9,9.34,False,False,15,Minor delays due to material delivery.,False
upd_000230,act_002_02,proj_002,2022-03-18,69.4,5.55,False,False,15,Work progressing as planned.,False
upd_000231,act_002_02,proj_002,2022-03-19,77.0,7.62,True,False,18,Minor delays due to material delivery.,False
upd_000232,act_002_02,proj_002,2022-03-20,84.1,7.13,True,False,4,Work progressing as planned.,False
upd_000233,act_002_02,proj_002,2022-03-21,90.5,6.44,True,False,22,Weather caused brief stoppage.,False
upd_000234,act_002_02,proj_002,2022-03-22,99.6,9.13,True,False,10,All tasks on track per daily plan.,True
upd_000235,act_002_03,proj_002,2022-03-23,6.9,6.85,True,False,4,Inspection checkpoint cleared.,False
upd_000236,act_002_03,proj_002,2022-03-24,16.3,9.45,True,False,12,Night shift deployed to catch up.,False
upd_000237,act_002_03,proj_002,2022-03-25,28.1,11.83,True,False,4,Waiting for subcontractor sign-off.,False
upd_000238,act_002_03,proj_002,2022-03-26,29.7,1.56,True,False,9,Inspection checkpoint cleared.,False
upd_000239,act_002_03,proj_002,2022-03-27,35.8,6.12,True,False,6,Material quality check done; passed.,True
upd_000240,act_002_03,proj_002,2022-03-28,41.1,5.25,True,False,18,Client walkthrough conducted.,False
upd_000241,act_002_03,proj_002,2022-03-29,41.1,0.0,False,False,20,Inspection checkpoint cleared.,False
upd_000242,act_002_03,proj_002,2022-03-30,47.7,6.57,True,False,19,All tasks on track per daily plan.,False
upd_000243,act_002_03,proj_002,2022-03-31,55.0,7.34,True,False,18,Minor delays due to material delivery.,False
upd_000244,act_002_03,proj_002,2022-04-01,63.0,8.03,True,False,8,Inspection checkpoint cleared.,False
upd_000245,act_002_03,proj_002,2022-04-02,70.7,7.67,True,False,16,Safety toolbox talk held; no incidents.,False
upd_000246,act_002_03,proj_002,2022-04-03,74.8,4.05,True,False,7,Night shift deployed to catch up.,False
upd_000247,act_002_03,proj_002,2022-04-04,77.8,2.96,True,False,21,Productivity affected by heat; hydration breaks added.,False
upd_000248,act_002_03,proj_002,2022-04-05,78.7,0.89,False,False,17,Waiting for subcontractor sign-off.,False
upd_000249,act_002_03,proj_002,2022-04-06,80.9,2.15,False,False,14,Overtime shift completed to recover schedule.,False
upd_000250,act_002_03,proj_002,2022-04-07,85.9,5.01,False,False,19,Minor delays due to material delivery.,False
upd_000251,act_002_03,proj_002,2022-04-08,87.8,1.89,True,False,15,Night shift deployed to catch up.,True
upd_000252,act_002_03,proj_002,2022-04-09,98.5,10.73,False,True,21,Waiting for subcontractor sign-off.,False
upd_000253,act_002_03,proj_002,2022-04-10,100.0,1.63,False,False,17,All tasks on track per daily plan.,False
upd_000254,act_002_04,proj_002,2022-04-11,16.2,16.19,True,True,13,Waiting for subcontractor sign-off.,False
upd_000255,act_002_04,proj_002,2022-04-12,27.0,10.85,True,False,19,Weather caused brief stoppage.,True
upd_000256,act_002_04,proj_002,2022-04-13,37.1,10.14,True,False,7,Night shift deployed to catch up.,False
upd_000257,act_002_04,proj_002,2022-04-14,44.2,7.12,True,False,21,Night shift deployed to catch up.,False
