id,activity_id,project_id,description,category,severity,status,assigned_to,date_raised,delay_impact_days
iss_00059,act_002_04,proj_002,Safety non-compliance flagged during Waterproofing & Damp Proofing.,safety,low,resolved,Contractor A,2022-04-11,0
iss_00060,act_002_04,proj_002,Adverse weather halted outdoor work on Waterproofing & Damp Proofing.,weather,low,resolved,Contractor B,2022-04-17,0
iss_00061,act_002_04,proj_002,Adverse weather halted outdoor work on Waterproofing & Damp Proofing.,weather,high,resolved,Client PM,2022-04-16,0
iss_00062,act_002_05,proj_002,Insufficient crew available; Plumbing Rough-in understaffed.,labor_shortage,low,resolved,Safety Officer,2022-04-15,0
iss_00063,act_002_05,proj_002,Insufficient crew available; Plumbing Rough-in understaffed.,labor_shortage,high,resolved,Contractor B,2022-04-23,0
iss_00064,act_002_05,proj_002,Adverse weather halted outdoor work on Plumbing Rough-in.,weather,medium,resolved,Procurement Lead,2022-04-24,0
iss_00065,act_002_05,proj_002,Insufficient crew available; Plumbing Rough-in understaffed.,labor_shortage,low,resolved,Client PM,2022-04-13,0
iss_00066,act_002_06,proj_002,Insufficient crew available; Electrical Wiring & Conduits understaffed.,labor_shortage,medium,open,Safety Officer,2022-04-17,3
iss_00067,act_002_06,proj_002,Undocumented additional work added to Electrical Wiring & Conduits.,scope_creep,medium,resolved,QA Inspector,2022-04-21,0
iss_00068,act_002_06,proj_002,Safety non-compliance flagged during Electrical Wiring & Conduits.,safety,low,resolved,Project Engineer,2022-04-18,0
iss_00069,act_002_06,proj_002,Key equipment broke down mid-task on Electrical Wiring & Conduits.,equipment_breakdown,medium,resolved,Procurement Lead,2022-04-20,0
iss_00070,act_002_07,proj_002,Client-requested scope change impacts HVAC & Ventilation Installation.,design_change,medium,resolved,QA Inspector,2022-04-19,0
iss_00071,act_002_07,proj_002,Client-requested scope change impacts HVAC & Ventilation Installation.,design_change,high,open,Project Engineer,2022-04-11,0
iss_00072,act_002_07,proj_002,Safety non-compliance flagged during HVAC & Ventilation Installation.,safety,medium,resolved,Contractor A,2022-04-11,0
iss_00073,act_002_07,proj_002,Safety non-compliance flagged during HVAC & Ventilation Installation.,safety,medium,resolved,Contractor B,2022-04-15,0
iss_00074,act_002_08,proj_002,Undocumented additional work added to Floor Leveling & Screed.,scope_creep,low,resolved,QA Inspector,2022-04-29,0
iss_00075,act_002_08,proj_002,Client-requested scope change impacts Floor Leveling & Screed.,design_change,high,open,Contractor A,2022-04-28,1
iss_00076,act_002_08,proj_002,Key equipment broke down mid-task on Floor Leveling & Screed.,equipment_breakdown,high,resolved,QA Inspector,2022-05-01,0
iss_00077,act_002_09,proj_002,Delivery of Tiling — Floors & Wet Areas delayed by supplier.,material_delay,high,resolved,Contractor A,2022-05-26,0
iss_00078,act_002_09,proj_002,Adverse weather halted outdoor work on Tiling — Floors & Wet Areas.,weather,low,resolved,Contractor A,2022-05-18,0
iss_00079,act_002_09,proj_002,Insufficient crew available; Tiling — Floors & Wet Areas understaffed.,labor_shortage,low,resolved,QA Inspector,2022-05-15,0
iss_00080,act_002_10,proj_002,Adverse weather halted outdoor work on Wall Plastering & Screeding.,weather,medium,open,Client PM,2022-05-07,4
iss_00081,act_002_10,proj_002,Key equipment broke down mid-task on Wall Plastering & Screeding.,equipment_breakdown,high,resolved,Site Manager,2022-05-04,0
iss_00082,act_002_10,proj_002,Insufficient crew available; Wall Plastering & Screeding understaffed.,labor_shortage,low,resolved,Site Manager,2022-05-09,0
iss_00083,act_002_11,proj_002,Adverse weather halted outdoor work on False Ceiling & Insulation.,weather,medium,open,Procurement Lead,2022-05-24,3
iss_00084,act_002_11,proj_002,Municipal inspection failed; rework needed on False Ceiling & Insulation.,inspection_fail,critical,resolved,Project Engineer,2022-05-22,0
iss_00085,act_002_11,proj_002,Adverse weather halted outdoor work on False Ceiling & Insulation.,weather,low,open,Contractor B,2022-05-19,3
iss_00086,act_002_12,proj_002,Key equipment broke down mid-task on Painting — Primer & Finish Coats.,equipment_breakdown,medium,open,Contractor A,2022-06-09,1
iss_00087,act_002_12,proj_002,Undocumented additional work added to Painting — Primer & Finish Coats.,scope_creep,medium,resolved,QA Inspector,2022-06-09,0
iss_00088,act_002_12,proj_002,Key equipment broke down mid-task on Painting — Primer & Finish Coats.,equipment_breakdown,low,resolved,QA Inspector,2022-05-30,0
iss_00089,act_002_13,proj_002,"Municipal inspection failed; rework needed on Carpentry, Joinery & Built-ins.",inspection_fail,low,open,Safety Officer,2022-06-11,4
iss_00090,act_002_13,proj_002,"Client-requested scope change impacts Carpentry, Joinery & Built-ins.",design_change,low,resolved,Contractor A,2022-06-17,0
iss_00091,act_002_13,proj_002,"Delivery of Carpentry, Joinery & Built-ins delayed by supplier.",material_delay,high,resolved,Project Engineer,2022-06-12,0
iss_00092,act_002_14,proj_002,"Client-requested scope change impacts Fixtures, Fittings & Sanitaryware.",design_change,low,resolved,Site Manager,2022-07-08,0
iss_00093,act_002_14,proj_002,"Undocumented additional work added to Fixtures, Fittings & Sanitaryware.",scope_creep,low,resolved,Client PM,2022-06-29,0
iss_00094,act_002_14,proj_002,"Safety non-compliance flagged during Fixtures, Fittings & Sanitaryware.",safety,high,resolved,Project Engineer,2022-07-04,0
iss_00095,act_002_15,proj_002,"Key equipment broke down mid-task on Final Inspection, Snag & Handover.",equipment_breakdown,high,resolved,Contractor A,2022-07-12,0
iss_00096,act_002_15,proj_002,"Key equipment broke down mid-task on Final Inspection, Snag & Handover.",equipment_breakdown,high,resolved,Contractor B,2022-07-10,0
iss_00097,act_003_01,proj_003,Key equipment broke down mid-task on Site Survey & Mobilization.,equipment_breakdown,medium,resolved,Site Manager,2022-06-18,0
iss_00098,act_003_01,proj_003,Adverse weather halted outdoor work on Site Survey & Mobilization.,weather,low,resolved,Contractor A,2022-06-21,0
iss_00099,act_003_02,proj_003,Client-requested scope change impacts Demolition & Strip-Out.,design_change,high,resolved,Contractor B,2022-07-06,0
iss_00100,act_003_02,proj_003,Adverse weather halted outdoor work on Demolition & Strip-Out.,weather,critical,resolved,Safety Officer,2022-07-02,0
iss_00101,act_003_02,proj_003,Adverse weather halted outdoor work on Demolition & Strip-Out.,weather,medium,resolved,QA Inspector,2022-06-25,0
iss_00102,act_003_03,proj_003,Key equipment broke down mid-task on Structural Repairs & Reinforcement.,equipment_breakdown,low,resolved,Contractor A,2022-07-16,0
iss_00103,act_003_03,proj_003,Undocumented additional work added to Structural Repairs & Reinforcement.,scope_creep,low,open,Contractor A,2022-07-27,2
iss_00104,act_003_03,proj_003,Insufficient crew available; Structural Repairs & Reinforcement understaffed.,labor_shortage,medium,open,Contractor B,2022-07-14,2
iss_00105,act_003_03,proj_003,Municipal inspection failed; rework needed on Structural Repairs & Reinforcement.,inspection_fail,medium,resolved,Contractor A,2022-07-17,0
iss_00106,act_003_04,proj_003,Undocumented additional work added to Waterproofing & Damp Proofing.,scope_creep,low,resolved,Client PM,2022-08-12,0
iss_00107,act_003_04,proj_003,Adverse weather halted outdoor work on Waterproofing & Damp Proofing.,weather,critical,resolved,Procurement Lead,2022-08-05,0
iss_00108,act_003_04,proj_003,Safety non-compliance flagged during Waterproofing & Damp Proofing.,safety,high,resolved,Contractor B,2022-08-12,0
iss_00109,act_003_04,proj_003,Safety non-compliance flagged during Waterproofing & Damp Proofing.,safety,medium,resolved,Safety Officer,2022-08-10,0
iss_00110,act_003_05,proj_003,Insufficient crew available; Plumbing Rough-in understaffed.,labor_shortage,medium,resolved,Client PM,2022-08-15,0
iss_00111,act_003_05,proj_003,Delivery of Plumbing Rough-in delayed by supplier.,material_delay,medium,resolved,Project Engineer,2022-08-16,0
iss_00112,act_003_05,proj_003,Delivery of Plumbing Rough-in delayed by supplier.,material_delay,low,open,Contractor B,2022-08-14,3
iss_00113,act_003_05,proj_003,Key equipment broke down mid-task on Plumbing Rough-in.,equipment_breakdown,high,open,Contractor A,2022-08-10,3
iss_00114,act_003_06,proj_003,Undocumented additional work added to Electrical Wiring & Conduits.,scope_creep,medium,resolved,Procurement Lead,2022-08-06,0
iss_00115,act_003_06,proj_003,Insufficient crew available; Electrical Wiring & Conduits understaffed.,labor_shortage,low,open,QA Inspector,2022-08-08,3
iss_00116,act_003_06,proj_003,Key equipment broke down mid-task on Electrical Wiring & Conduits.,equipment_breakdown,medium,resolved,Procurement Lead,2022-08-08,0
iss_00117,act_003_06,proj_003,Undocumented additional work added to Electrical Wiring & Conduits.,scope_creep,low,resolved,Contractor B,2022-08-12,0
iss_00118,act_003_07,proj_003,Adverse weather halted outdoor work on HVAC & Ventilation Installation.,weather,medium,resolved,Site Manager,2022-08-15,0
iss_00119,act_003_07,proj_003,Key equipment broke down mid-task on HVAC & Ventilation Installation.,equipment_breakdown,low,resolved,QA Inspector,2022-08-13,0
iss_00120,act_003_07,proj_003,Client-requested scope change impacts HVAC & Ventilation Installation.,design_change,low,resolved,QA Inspector,2022-08-10,0
iss_00121,act_003_07,proj_003,Municipal inspection failed; rework needed on HVAC & Ventilation Installation.,inspection_fail,medium,open,Client PM,2022-08-12,0
iss_00122,act_003_08,proj_003,Insufficient crew available; Floor Leveling & Screed understaffed.,labor_shortage,low,resolved,QA Inspector,2022-08-30,0
iss_00123,act_003_08,proj_003,Client-requested scope change impacts Floor Leveling & Screed.,design_change,medium,resolved,Site Manager,2022-08-23,0
iss_00124,act_003_08,proj_003,Key equipment broke down mid-task on Floor Leveling & Screed.,equipment_breakdown,medium,resolved,Contractor B,2022-08-25,0
iss_00125,act_003_09,proj_003,Safety non-compliance flagged during Tiling — Floors & Wet Areas.,safety,critical,resolved,Contractor B,2022-09-16,0
iss_00126,act_003_09,proj_003,Safety non-compliance flagged during Tiling — Floors & Wet Areas.,safety,critical,resolved,Site Manager,2022-09-20,0
iss_00127,act_003_09,proj_003,Client-requested scope change impacts Tiling — Floors & Wet Areas.,design_change,low,resolved,Contractor B,2022-09-13,0
iss_00128,act_003_10,proj_003,Safety non-compliance flagged during Wall Plastering & Screeding.,safety,low,resolved,Contractor B,2022-08-29,0
iss_00129,act_003_10,proj_003,Safety non-compliance flagged during Wall Plastering & Screeding.,safety,low,resolved,QA Inspector,2022-08-26,0
iss_00130,act_003_10,proj_003,Delivery of Wall Plastering & Screeding delayed by supplier.,material_delay,critical,resolved,Contractor B,2022-09-01,0
iss_00131,act_003_11,proj_003,Undocumented additional work added to False Ceiling & Insulation.,scope_creep,medium,resolved,Site Manager,2022-09-10,0
iss_00132,act_003_11,proj_003,Client-requested scope change impacts False Ceiling & Insulation.,design_change,medium,resolved,Contractor B,2022-09-16,0
iss_00133,act_003_11,proj_003,Key equipment broke down mid-task on False Ceiling & Insulation.,equipment_breakdown,low,open,Site Manager,2022-09-12,1
iss_00134,act_003_12,proj_003,Safety non-compliance flagged during Painting — Primer & Finish Coats.,safety,low,resolved,Contractor A,2022-10-01,0
iss_00135,act_003_12,proj_003,Undocumented additional work added to Painting — Primer & Finish Coats.,scope_creep,medium,resolved,QA Inspector,2022-09-25,0
iss_00136,act_003_12,proj_003,Safety non-compliance flagged during Painting — Primer & Finish Coats.,safety,high,resolved,Safety Officer,2022-09-21,0
iss_00137,act_003_13,proj_003,"Adverse weather halted outdoor work on Carpentry, Joinery & Built-ins.",weather,medium,resolved,Contractor B,2022-10-19,0
iss_00138,act_003_13,proj_003,"Key equipment broke down mid-task on Carpentry, Joinery & Built-ins.",equipment_breakdown,low,resolved,QA Inspector,2022-10-15,0
iss_00139,act_003_13,proj_003,"Insufficient crew available; Carpentry, Joinery & Built-ins understaffed.",labor_shortage,critical,resolved,Contractor A,2022-10-08,0
iss_00140,act_003_14,proj_003,"Delivery of Fixtures, Fittings & Sanitaryware delayed by supplier.",material_delay,medium,resolved,Procurement Lead,2022-11-04,0
iss_00141,act_003_14,proj_003,"Insufficient crew available; Fixtures, Fittings & Sanitaryware understaffed.",labor_shortage,medium,resolved,Site Manager,2022-10-30,0
iss_00142,act_003_14,proj_003,"Key equipment broke down mid-task on Fixtures, Fittings & Sanitaryware.",equipment_breakdown,low,resolved,QA Inspector,2022-10-27,0
iss_00143,act_003_15,proj_003,"Client-requested scope change impacts Final Inspection, Snag & Handover.",design_change,high,resolved,Safety Officer,2022-11-09,0
iss_00144,act_003_15,proj_003,"Key equipment broke down mid-task on Final Inspection, Snag & Handover.",equipment_breakdown,critical,resolved,QA Inspector,2022-11-06,0
iss_00145,act_004_01,proj_004,Safety non-compliance flagged during Site Survey & Mobilization.,safety,high,resolved,Client PM,2022-09-08,0
iss_00146,act_004_01,proj_004,Municipal inspection failed; rework needed on Site Survey & Mobilization.,inspection_fail,medium,resolved,QA Inspector,2022-09-08,0
iss_00147,act_004_02,proj_004,Client-requested scope change impacts Demolition & Strip-Out.,design_change,low,resolved,Site Manager,2022-09-13,0
iss_00148,act_004_02,proj_004,Delivery of Demolition & Strip-Out delayed by supplier.,material_delay,low,resolved,Safety Officer,2022-09-18,0
iss_00149,act_004_02,proj_004,Adverse weather halted outdoor work on Demolition & Strip-Out.,weather,critical,resolved,Project Engineer,2022-09-21,0
iss_00150,act_004_03,proj_004,Key equipment broke down mid-task on Structural Repairs & Reinforcement.,equipment_breakdown,low,resolved,Site Manager,2022-10-11,0
iss_00151,act_004_03,proj_004,Adverse weather halted outdoor work on Structural Repairs & Reinforcement.,weather,critical,resolved,Contractor B,2022-10-10,0
iss_00152,act_004_03,proj_004,Safety non-compliance flagged during Structural Repairs & Reinforcement.,safety,medium,resolved,Contractor A,2022-10-02,0
iss_00153,act_004_03,proj_004,Insufficient crew available; Structural Repairs & Reinforcement understaffed.,labor_shortage,medium,resolved,Client PM,2022-10-15,0
iss_00154,act_004_04,proj_004,Adverse weather halted outdoor work on Waterproofing & Damp Proofing.,weather,critical,open,Site Manager,2022-10-25,0
iss_00155,act_004_04,proj_004,Delivery of Waterproofing & Damp Proofing delayed by supplier.,material_delay,medium,resolved,Site Manager,2022-10-20,0
iss_00156,act_004_04,proj_004,Key equipment broke down mid-task on Waterproofing & Damp Proofing.,equipment_breakdown,low,resolved,Procurement Lead,2022-10-24,0
iss_00157,act_004_04,proj_004,Adverse weather halted outdoor work on Waterproofing & Damp Proofing.,weather,low,resolved,Client PM,2022-10-22,0
iss_00158,act_004_05,proj_004,Client-requested scope change impacts Plumbing Rough-in.,design_change,high,resolved,QA Inspector,2022-10-29,0
iss_00159,act_004_05,proj_004,Municipal inspection failed; rework needed on Plumbing Rough-in.,inspection_fail,medium,resolved,Contractor B,2022-10-27,0
iss_00160,act_004_05,proj_004,Delivery of Plumbing Rough-in delayed by supplier.,material_delay,medium,resolved,Contractor A,2022-10-18,0
iss_00161,act_004_05,proj_004,Undocumented additional work added to Plumbing Rough-in.,scope_creep,critical,open,Client PM,2022-10-21,1
iss_00162,act_004_06,proj_004,Adverse weather halted outdoor work on Electrical Wiring & Conduits.,weather,low,resolved,Safety Officer,2022-11-01,0
iss_00163,act_004_06,proj_004,Client-requested scope change impacts Electrical Wiring & Conduits.,design_change,medium,resolved,Site Manager,2022-10-25,0
iss_00164,act_004_06,proj_004,Insufficient crew available; Electrical Wiring & Conduits understaffed.,labor_shortage,medium,resolved,Project Engineer,2022-10-29,0
iss_00165,act_004_06,proj_004,Key equipment broke down mid-task on Electrical Wiring & Conduits.,equipment_breakdown,medium,resolved,Procurement Lead,2022-10-31,0
iss_00166,act_004_07,proj_004,Adverse weather halted outdoor work on HVAC & Ventilation Installation.,weather,low,open,Site Manager,2022-10-21,1
iss_00167,act_004_07,proj_004,Safety non-compliance flagged during HVAC & Ventilation Installation.,safety,critical,resolved,Site Manager,2022-10-22,0
iss_00168,act_004_07,proj_004,Municipal inspection failed; rework needed on HVAC & Ventilation Installation.,inspection_fail,critical,open,Site Manager,2022-10-28,0
iss_00169,act_004_07,proj_004,Adverse weather halted outdoor work on HVAC & Ventilation Installation.,weather,low,resolved,Project Engineer,2022-10-20,0
iss_00170,act_004_08,proj_004,Safety non-compliance flagged during Floor Leveling & Screed.,safety,low,open,Contractor B,2022-11-06,5
iss_00171,act_004_08,proj_004,Municipal inspection failed; rework needed on Floor Leveling & Screed.,inspection_fail,medium,resolved,Safety Officer,2022-11-10,0
iss_00172,act_004_08,proj_004,Municipal inspection failed; rework needed on Floor Leveling & Screed.,inspection_fail,medium,resolved,QA Inspector,2022-11-10,0
iss_00173,act_004_09,proj_004,Key equipment broke down mid-task on Tiling — Floors & Wet Areas.,equipment_breakdown,critical,resolved,Project Engineer,2022-11-22,0
iss_00174,act_004_09,proj_004,Key equipment broke down mid-task on Tiling — Floors & Wet Areas.,equipment_breakdown,low,resolved,Client PM,2022-11-19,0
iss_00175,act_004_09,proj_004,Client-requested scope change impacts Tiling — Floors & Wet Areas.,design_change,critical,resolved,Procurement Lead,2022-11-27,0
iss_00176,act_004_10,proj_004,Municipal inspection failed; rework needed on Wall Plastering & Screeding.,inspection_fail,high,resolved,QA Inspector,2022-11-09,0
iss_00177,act_004_10,proj_004,Client-requested scope change impacts Wall Plastering & Screeding.,design_change,medium,resolved,Contractor A,2022-11-10,0
iss_00178,act_004_10,proj_004,Adverse weather halted outdoor work on Wall Plastering & Screeding.,weather,high,resolved,Client PM,2022-11-12,0
iss_00179,act_004_11,proj_004,Key equipment broke down mid-task on False Ceiling & Insulation.,equipment_breakdown,low,resolved,Safety Officer,2022-11-27,0
iss_00180,act_004_11,proj_004,Delivery of False Ceiling & Insulation delayed by supplier.,material_delay,low,resolved,QA Inspector,2022-11-23,0
iss_00181,act_004_11,proj_004,Safety non-compliance flagged during False Ceiling & Insulation.,safety,low,open,Safety Officer,2022-11-23,2
iss_00182,act_004_12,proj_004,Safety non-compliance flagged during Painting — Primer & Finish Coats.,safety,low,resolved,Site Manager,2022-12-17,0
iss_00183,act_004_12,proj_004,Safety non-compliance flagged during Painting — Primer & Finish Coats.,safety,low,resolved,Safety Officer,2022-12-09,0
iss_00184,act_004_12,proj_004,Insufficient crew available; Painting — Primer & Finish Coats understaffed.,labor_shortage,medium,resolved,Project Engineer,2022-12-07,0
iss_00185,act_004_13,proj_004,"Municipal inspection failed; rework needed on Carpentry, Joinery & Built-ins.",inspection_fail,high,resolved,Contractor A,2023-01-05,0
iss_00186,act_004_13,proj_004,"Key equipment broke down mid-task on Carpentry, Joinery & Built-ins.",equipment_breakdown,medium,resolved,Project Engineer,2022-12-24,0
iss_00187,act_004_13,proj_004,"Undocumented additional work added to Carpentry, Joinery & Built-ins.",scope_creep,medium,resolved,QA Inspector,2022-12-26,0
iss_00188,act_004_14,proj_004,"Insufficient crew available; Fixtures, Fittings & Sanitaryware understaffed.",labor_shortage,medium,resolved,QA Inspector,2023-01-13,0
iss_00189,act_004_14,proj_004,"Delivery of Fixtures, Fittings & Sanitaryware delayed by supplier.",material_delay,low,resolved,Site Manager,2023-01-17,0
iss_00190,act_004_14,proj_004,"Municipal inspection failed; rework needed on Fixtures, Fittings & Sanitaryware.",inspection_fail,low,resolved,Site Manager,2023-01-18,0
iss_00191,act_004_15,proj_004,"Delivery of Final Inspection, Snag & Handover delayed by supplier.",material_delay,medium,open,Contractor A,2023-01-26,3
iss_00192,act_004_15,proj_004,"Municipal inspection failed; rework needed on Final Inspection, Snag & Handover.",inspection_fail,low,resolved,QA Inspector,2023-01-23,0
iss_00193,act_005_01,proj_005,Safety non-compliance flagged during Site Survey & Mobilization.,safety,medium,open,Procurement Lead,2023-01-08,2
